date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:22	13497/13497	---M--	301	error ('Moved%20Permanently')	text/html	etag:%220a804a1133478b1b57ea320b4158349c-ssl-df%22	https://parker.studio/work?filter=art-direction	~/parker_about_mirror2/parker.studio/work.3ecb78.delayed	(from https://parker.studio/about/)
16:28:22	91181/91181	---M-Z	200	added ('OK')	text/html	etag:%220a804a1133478b1b57ea320b4158349c-ssl-df%22	https://parker.studio/work/?filter=brand-strategy	~/parker_about_mirror2/parker.studio/work/indexe1ef.html	(from https://parker.studio/about/)
16:28:23	13491/13491	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%220a804a1133478b1b57ea320b4158349c-ssl-df%22	https://parker.studio/work?filter=photography	~/parker_about_mirror2/parker.studio/work.3fd60e.delayed	(from https://parker.studio/about/)
16:28:23	91181/91181	---MCZ	200	added ('OK')	text/html	etag:%220a804a1133478b1b57ea320b4158349c-ssl-df%22	https://parker.studio/work/?filter=art-direction	~/parker_about_mirror2/parker.studio/work/indexcb78.html	(from https://parker.studio/about/)
16:28:24	91181/91181	---MCZ	200	added ('OK')	text/html	etag:%220a804a1133478b1b57ea320b4158349c-ssl-df%22	https://parker.studio/work/?filter=photography	~/parker_about_mirror2/parker.studio/work/indexd60e.html	(from https://parker.studio/about/)
16:28:24	13481/13481	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%220a804a1133478b1b57ea320b4158349c-ssl-df%22	https://parker.studio/work?filter=motion	~/parker_about_mirror2/parker.studio/work.4092df.delayed	(from https://parker.studio/about/)
16:28:25	22596/22596	---M-Z	200	added ('OK')	application/javascript	etag:%22aeac3c3c157ee459c763fd2b96bf19b8-ssl-df%22	https://parker.studio/_nuxt/02a72cc.js	~/parker_about_mirror2/parker.studio/_nuxt/02a72cc.js	(from https://parker.studio/contact/)
16:28:26	91181/91181	---M-Z	200	added ('OK')	text/html	etag:%220a804a1133478b1b57ea320b4158349c-ssl-df%22	https://parker.studio/work/?filter=motion	~/parker_about_mirror2/parker.studio/work/index92df.html	(from https://parker.studio/about/)
16:28:27	6583/6583	---MCZ	200	added ('OK')	application/javascript	etag:%22d0cc0a45a277dbc130b7a6db9d9e3996-ssl-df%22	https://parker.studio/_nuxt/static/1739986063/contact/state.js	~/parker_about_mirror2/parker.studio/_nuxt/static/1739986063/contact/state.js	(from https://parker.studio/contact/)
16:28:27	299/299	---M--	200	added ('OK')	application/javascript	etag:%22625e3e91f9b991a21bf5b0c8f4844ac6-ssl%22	https://parker.studio/_nuxt/static/1739986063/contact/payload.js	~/parker_about_mirror2/parker.studio/_nuxt/static/1739986063/contact/payload.js	(from https://parker.studio/contact/)
16:28:28	52736/52736	---M-Z	200	added ('OK')	application/javascript	etag:%22249afc6f9fd7bdce41bbabb6ceb82b6a-ssl-df%22	https://parker.studio/_nuxt/6451e6e.js	~/parker_about_mirror2/parker.studio/_nuxt/6451e6e.js	(from https://parker.studio/store/)
16:28:30	6581/6581	---MCZ	200	added ('OK')	application/javascript	etag:%225dde78a90da8b0b227a90e213baa3b43-ssl-df%22	https://parker.studio/_nuxt/static/1739986063/store/state.js	~/parker_about_mirror2/parker.studio/_nuxt/static/1739986063/store/state.js	(from https://parker.studio/store/)
16:28:30	2720/2720	---M-Z	200	added ('OK')	application/javascript	etag:%22f7201156101a06e7e260708ac64982b2-ssl-df%22	https://parker.studio/_nuxt/static/1739986063/store/payload.js	~/parker_about_mirror2/parker.studio/_nuxt/static/1739986063/store/payload.js	(from https://parker.studio/store/)
16:28:31	10806/10806	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22cdcd3161262639a4f8844603747484de-ssl-df%22	https://parker.studio/store/the-candle	~/parker_about_mirror2/parker.studio/store/the-candle.47.delayed	(from https://parker.studio/store/)
16:28:32	11984/11984	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22df88738c132632d79195a6244ad68610-ssl-df%22	https://parker.studio/store/office-air-seasoning	~/parker_about_mirror2/parker.studio/store/office-air-seasoning.48.delayed	(from https://parker.studio/store/)
16:28:33	60138/60138	---MCZ	200	added ('OK')	text/html	etag:%22cdcd3161262639a4f8844603747484de-ssl-df%22	https://parker.studio/store/the-candle/	~/parker_about_mirror2/parker.studio/store/the-candle/index.html	(from https://parker.studio/store/)
